Date,Category,Amount,Mood,Payment_Method,Notes
2025-10-01,Food,350,Happy,UPI,Cafe with friends
2025-10-02,Shopping,1200,Stressed,Card,Bought clothes
2025-10-03,Rent,6000,Neutral,Cash,Monthly rent
2025-10-04,Entertainment,500,Happy,UPI,Movie night
2025-10-05,Bills,800,Sad,Card,Electricity bill
2025-10-06,Groceries,700,Happy,UPI,Weekly groceries
2025-10-07,Medical,300,Sad,Cash,Medicines
2025-10-08,Travel,400,Excited,UPI,Metro card recharge
2025-10-09,Food,250,Neutral,UPI,Lunch at office
2025-10-10,Shopping,950,Happy,Card,New shoes
